"subject","array.type","compat","RT","ACC","WMC","Err"
"1301","No-Line","comp",546.650406504065,0.884892086330935,"Low_WMC",0.115107913669065
"1302","No-Line","comp",603.106382978723,0.986013986013986,"Low_WMC",0.013986013986014
"1303","No-Line","comp",630.382352941176,0.971428571428571,"Low_WMC",0.0285714285714286
"1304","No-Line","comp",506.692857142857,0.972222222222222,"Low_WMC",0.0277777777777778
"1305","No-Line","comp",381.839160839161,0.993055555555556,"Low_WMC",0.00694444444444442
"1306","No-Line","comp",611.571428571429,0.875,"Low_WMC",0.125
"1307","No-Line","comp",366.716312056738,0.979166666666667,"Low_WMC",0.0208333333333334
"1308","No-Line","comp",549.377622377622,1,"Low_WMC",0
"1309","No-Line","comp",564.470588235294,0.944444444444444,"Low_WMC",0.0555555555555556
"1310","No-Line","comp",464.504,0.961538461538462,"Low_WMC",0.0384615384615384
"1311","No-Line","comp",564.41958041958,0.993055555555556,"Low_WMC",0.00694444444444442
"1312","No-Line","comp",419.264705882353,0.944444444444444,"Low_WMC",0.0555555555555556
"1313","No-Line","comp",552.933333333333,0.9375,"Low_WMC",0.0625
"1314","No-Line","comp",613.235294117647,0.957746478873239,"Low_WMC",0.0422535211267606
"1315","No-Line","comp",771.300751879699,0.956834532374101,"Low_WMC",0.0431654676258992
"1316","No-Line","comp",620.713178294574,0.895833333333333,"Low_WMC",0.104166666666667
"1317","No-Line","comp",606.588652482269,0.986013986013986,"Low_WMC",0.013986013986014
"1318","No-Line","comp",504.076086956522,0.736,"Low_WMC",0.264
"1319","No-Line","comp",503.048611111111,1,"Low_WMC",0
"1320","No-Line","comp",677.036764705882,0.957746478873239,"Low_WMC",0.0422535211267606
"1321","No-Line","comp",599.557971014493,0.958333333333333,"Low_WMC",0.0416666666666666
"1322","No-Line","comp",598.4921875,0.927536231884058,"Low_WMC",0.072463768115942
"1323","No-Line","comp",509.764705882353,0.957746478873239,"Low_WMC",0.0422535211267606
"1324","No-Line","comp",484.709219858156,0.979166666666667,"Low_WMC",0.0208333333333334
"1325","No-Line","comp",637.308333333333,0.857142857142857,"Low_WMC",0.142857142857143
"1326","No-Line","comp",827.443609022556,0.936619718309859,"Low_WMC",0.0633802816901409
"1401","No-Line","comp",498.878787878788,0.929577464788732,"High_WMC",0.0704225352112676
"1402","No-Line","comp",383.176056338028,0.986111111111111,"High_WMC",0.0138888888888888
